Book Name,Pages,Release Date,ISBN,Publisher
A Game of Thrones,694,1996-08-01T00:00:00,978-0553103540,Bantam Books
A Clash of Kings,768,1999-02-02T00:00:00,978-0553108033,Bantam Books
A Storm of Swords,992,2000-10-31T00:00:00,978-0553106633,Bantam Books
The Hedge Knight,164,2005-03-09T00:00:00,978-0976401100,Dabel Brothers Publishing
A Feast for Crows,784,2005-11-08T00:00:00,978-0553801507,Bantam Books
The Sworn Sword,152,2008-06-18T00:00:00,978-0785126508,Marvel
The Mystery Knight,416,2011-03-29T00:00:00,978-0765360267,Tor Fantasy
A Dance with Dragons,1040,2011-07-12T00:00:00,978-0553801477,Bantam Books
The Princess and the Queen,784,2013-12-03T00:00:00,978-0765332066,Tor Books
The Rogue Prince,832,2014-06-17T00:00:00,978-0345537263,Bantam Books
The World of Ice and Fire,336,2014-10-28T00:00:00,978-0553805444,Bantam Books
A Knight of the Seven Kingdoms,368,2015-10-06T00:00:00,978-0345533487,Bantam Books
